Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoketest,,,,2019-05-23 12:24:28,2019-05-23 12:24:30,"2,065s",FAILED
,,,,,,,
Test Cases/TC001_GetRequest_Validate_StatusCode,,,,2019-05-23 12:24:29,2019-05-23 12:24:30,"1,851s",FAILED
"Response = sendRequest(findTestObject(""GetCustomers""))",,,,2019-05-23 12:24:29,2019-05-23 12:24:30,"1,553s",PASSED
println(Response.getResponseText()),,,,2019-05-23 12:24:30,2019-05-23 12:24:30,"0,008s",PASSED
"verifyResponseStatusCode(Response, 201)",,,,2019-05-23 12:24:30,2019-05-23 12:24:30,"0,033s",FAILED
